logFC	logCPM	PValue	FDR
Saci_2354	-0.770420122396193	8.5456569189602	0.0132141291700216	0.0883177634579132
Saci_2082	0.917273084046637	8.18348781874702	0.0132521115359809	0.0883177634579132
Saci_0333	0.870591605136837	9.0634119258721	0.0135127589516463	0.0889117146835152
Saci_2102	0.867247507143493	8.24494501893243	0.0135203110948749	0.0889117146835152
Saci_1408	-0.758149142944733	10.2577688677248	0.0138948779827812	0.0907737752427742
Saci_1216	-0.860602965672687	9.05429818400771	0.0143271994074808	0.0921428357030249
Saci_1125	1.00037692647073	7.62442036044738	0.0143688341444096	0.0921428357030249
Saci_0556	-0.806932831659729	9.23560881586238	0.0144127460022368	0.0921428357030249
Saci_2084	0.953430322353604	7.39036841075256	0.0145518217704311	0.0921428357030249
Saci_1636	0.923665273154496	8.20951510168275	0.0145684040336102	0.0921428357030249
Saci_1948	0.807991777352418	8.19948787641909	0.0148799234455102	0.0933243601199883
Saci_0068	-0.801314373074045	11.0217468055183	0.0149431754874906	0.0933243601199883
Saci_1319	-0.740919047828518	8.72965408492068	0.0150710508285445	0.093534709204654
Saci_0730	-0.815943319245163	15.1321747174367	0.0151920142326974	0.0936998144911086
Saci_1259	0.808224951010187	11.8528266617432	0.01561563906394	0.0957180838919284
Saci_0460	-0.764773621129576	11.7372245577299	0.0159477203886031	0.0971539039624718
Saci_0384	-0.729867919158856	10.3583305585917	0.0172504699436842	0.104449491793161
Saci_0203	0.758050690931392	8.62602837477889	0.0174689608173501	0.105131382373507
Saci_1523	0.937663245456732	7.38253151113214	0.0184645385899371	0.110453535059082
Saci_0424	-0.764398725280513	10.2458001584096	0.0188902256646155	0.112323317874031
Saci_0769	-0.774567921132651	10.5954504887217	0.0191710969974701	0.113314876895761
Saci_0957	-0.821853377742279	9.23270176734472	0.0195192996937115	0.114690323052399
Saci_0712	-0.729828692098777	10.1501634130988	0.0198913061248445	0.116188629305709
Saci_1809	0.760750768155135	8.5793283939104	0.0203842675587353	0.118371799332305
Saci_1646	0.722923404967195	10.7113210155876	0.0209718003281165	0.120649350696789
Saci_0918	-0.693850753228978	13.1019364105917	0.0210194739884637	0.120649350696789
Saci_1538	-0.883224132918958	7.69640987561192	0.0215835619703878	0.12317515538273
Saci_0864	-0.724384368661446	8.93744297837046	0.0218025669669215	0.123601554395327
Saci_1351	-0.762234250660311	11.2820131002869	0.0219072241425756	0.123601554395327
Saci_0318	0.835856660591683	8.4354883420542	0.0222369413354724	0.124022450983296
Saci_2307	0.753437823764253	12.0499078439462	0.0223319790905254	0.124022450983296
Saci_0720	-0.746281724565702	7.68615838256554	0.022356514326294	0.124022450983296
Saci_2118	0.699027547508805	8.97343906167369	0.0227118423411758	0.125293663582153
Saci_2132	-0.691628486449551	10.4588478991441	0.0235639825869351	0.129276434855395
Saci_1604	-0.716794140326418	10.7343474745208	0.0245283501491024	0.13382775658274
Saci_0838	0.842253341518105	7.43872496229214	0.0249287921486126	0.135269347560504
Saci_1658	-0.74142365887669	10.2126913240095	0.0250729010674071	0.135311906303996
Saci_2367	-0.660655455459475	9.4122880670934	0.0253788668159328	0.136222782422818
Saci_2239	0.686978588500342	8.6617979018941	0.0257096824748355	0.136686048874738
